fASP_conj,0.44
fASP_src,0.47
Hybrid_BMSA,4.0
fASP_conj,0.53
fASP_src,0.52
Hybrid_BMSA,4.38
fASP_conj,0.78
fASP_src,0.79
Hybrid_BMSA,5.32
fASP_conj,0.52
fASP_src,0.51
Hybrid_BMSA,4.56
fASP_conj,0.98
fASP_src,1.03
Hybrid_BMSA,5.96
fASP_conj,1.14
fASP_src,1.2
Hybrid_BMSA,5.63
fASP_conj,0.5
fASP_src,0.5
Hybrid_BMSA,4.49
fASP_conj,3.11
fASP_src,3.18
Hybrid_BMSA,9.96
fASP_conj,0.79
fASP_src,0.79
Hybrid_BMSA,5.51
fASP_conj,1.76
fASP_src,1.99
Hybrid_BMSA,6.83
fASP_conj,1.08
fASP_src,1.18
Hybrid_BMSA,6.18
fASP_conj,2.09
fASP_src,2.18
Hybrid_BMSA,9.09
fASP_conj,1.75
fASP_src,1.83
Hybrid_BMSA,7.89
fASP_conj,2.43
fASP_src,4.05
Hybrid_BMSA,7.82
fASP_conj,4.51
fASP_src,2.94
Hybrid_BMSA,8.35
fASP_conj,0.16
fASP_src,0.22
Hybrid_BMSA,1.32
fASP_conj,0.16
fASP_src,0.26
Hybrid_BMSA,1.45
fASP_conj,15.91
fASP_src,4.73
Hybrid_BMSA,0.87
PFVS,10.52
fASP_conj,0.97
fASP_src,1.44
Hybrid_BMSA,1.17
PFVS,236.93
fASP_conj,43.41
fASP_src,84.49
Hybrid_BMSA,13.6
fASP_src,278.61
Hybrid_BMSA,78.96
fASP_conj,0.16
fASP_src,0.1
Hybrid_BMSA,0.97
PFVS,1.77
