fASP_conj,66.6
fASP_src,113.75
Hybrid_BMSA,3.05
PFVS,270.88
fASP_conj,2.58
fASP_src,1.52
Hybrid_BMSA,2.7
fASP_conj,0.09
fASP_src,0.09
Hybrid_BMSA,1.68
PFVS,0.17
Hybrid_BMSA,34.05
fASP_conj,0.1
fASP_src,0.1
Hybrid_BMSA,1.91
PFVS,0.17
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.82
PFVS,0.17
fASP_conj,0.09
fASP_src,0.08
Hybrid_BMSA,1.58
PFVS,0.12
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.7
PFVS,0.16
fASP_conj,0.2
fASP_src,0.15
Hybrid_BMSA,2.07
PFVS,0.87
fASP_conj,0.09
fASP_src,0.09
Hybrid_BMSA,1.61
PFVS,0.11
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.78
PFVS,0.17
fASP_conj,0.1
fASP_src,0.11
Hybrid_BMSA,1.93
PFVS,0.22
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.68
PFVS,0.17
fASP_conj,0.1
fASP_src,0.1
Hybrid_BMSA,2.07
PFVS,1.22
fASP_conj,0.09
fASP_src,0.08
Hybrid_BMSA,1.57
PFVS,0.12
fASP_conj,0.82
fASP_src,0.11
Hybrid_BMSA,2.06
PFVS,5.28
fASP_conj,0.14
fASP_src,0.35
Hybrid_BMSA,1.81
PFVS,1.07
fASP_src,24.64
Hybrid_BMSA,3.52
fASP_conj,1.09
fASP_src,0.11
Hybrid_BMSA,1.99
PFVS,1.97
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.76
PFVS,0.17
fASP_conj,0.09
fASP_src,0.09
Hybrid_BMSA,1.61
PFVS,0.17
fASP_conj,0.1
fASP_src,0.1
Hybrid_BMSA,1.69
PFVS,0.17
fASP_conj,0.1
fASP_src,0.1
Hybrid_BMSA,1.65
PFVS,0.17
fASP_conj,0.1
fASP_src,0.1
Hybrid_BMSA,1.73
PFVS,0.17
fASP_conj,0.11
fASP_src,0.1
Hybrid_BMSA,2.02
PFVS,0.87
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.75
PFVS,0.17
fASP_conj,0.24
fASP_src,0.1
Hybrid_BMSA,1.68
PFVS,2.79
fASP_conj,0.09
fASP_src,0.09
Hybrid_BMSA,1.59
PFVS,0.17
fASP_conj,0.09
fASP_src,0.1
Hybrid_BMSA,1.56
PFVS,0.11
fASP_conj,0.09
fASP_src,0.1
Hybrid_BMSA,1.62
PFVS,0.17
fASP_conj,0.09
fASP_src,0.09
Hybrid_BMSA,1.66
PFVS,0.11
fASP_conj,0.1
fASP_src,0.09
Hybrid_BMSA,1.75
PFVS,0.16
fASP_conj,0.11
fASP_src,0.11
Hybrid_BMSA,1.74
PFVS,19.92
fASP_conj,0.12
fASP_src,0.11
Hybrid_BMSA,1.78
