Instance,fASP_conj,fASP_src,Hybrid_BMSA,PFVS
334_1250_6241,,,,
335_4737_28560,0*,0*,0*,
336_2814_25946,,,,
337_4126_54693,,,,
338_2194_22486,,,,
339_3074_31752,,,,
33_4691_34307,,,,
340_4034_16741,,,,
341_4593_45200,,,,
342_4900_37556,,,,
343_2934_12868,,,,
344_3033_30875,,,,
345_1509_8576,,,,
346_1146_8678,,,,
347_1517_9807,,,,
348_4743_29463,,,,
349_3075_23765,,,,
34_2073_12101,,,,
350_1267_13061,,,,
351_2860_15568,,,,
352_1480_8600,,,,
353_1507_12876,,,,
354_3158_19046,,,,
355_1877_14402,,,,
356_3473_30365,,,,
357_2294_19502,,,,
358_4490_43124,,,,
359_1281_18147,,,,
35_2333_8482,,,,
360_2086_29655,,,,
361_2102_16347,,,,
362_3615_17922,,,,
363_2212_9257,,,,
364_3841_51175,,,,
365_2972_15550,,,,
366_3274_27933,,,,
367_3768_50257,,,,
368_3629_50478,,,,
369_2876_16173,,,,
36_1652_21936,,,,
370_3762_33255,,,,
371_3837_19935,,,,
372_2040_18746,0*,0*,0*,
373_2496_16665,,,,
374_1180_10351,,,,
375_4409_28515,,,,
376_2063_20490,,,,
377_2123_29375,,,,
378_2885_16402,,,,
379_2994_24380,,,,
37_4573_40033,,,,
380_4465_44146,,,,
381_2374_24073,,,,
382_1282_18848,,,,
383_2063_11674,,,,
384_2631_22460,,,,
385_3492_38393,,,,
386_2598_11085,,,,
387_4124_39500,,,,
388_2547_15905,,,,
389_1541_7743,,,,
38_2780_17288,,,,
390_1666_10810,,,,
391_2968_22736,,,,
392_4282_49794,,,,
393_2323_11520,,,,
394_1034_4780,,,,
395_4170_22067,,,,
396_4654_25949,,,,
397_1156_6360,,,,
398_2679_23580,,,,
399_2747_31885,,,,
39_3316_19997,,,,
3_3390_33148,,,,
400_1823_8173,,,,
40_3578_25250,,,,
41_3466_40303,,,,
42_4367_44064,,,,
43_3008_28955,,,,
44_1918_25563,,,,
45_4492_27797,,,,
46_1312_15210,,,,
47_3931_26139,,,,
48_3411_21919,,,,
49_3799_29170,,,,
4_3317_47148,,,,
50_2617_26941,,,,
51_4640_62474,,,,
52_2094_8877,,,,
53_1393_18550,,,,
54_2817_35585,0*,0*,0*,
55_2259_31164,0*,0*,0*,
56_2030_10939,,,,
57_4314_57386,,,,
58_1470_8001,,,,
59_968_5523,,,,
5_1095_5989,,,,
60_4175_59269,,,,
61_1556_12750,,,,
62_1962_11722,,,,
63_3372_18560,,,,
64_1703_19684,,,,
65_3876_44940,,,,
66_2345_12282,,,,
67_2709_18484,,,,
68_1595_21217,,,,
69_1855_9666,,,,
6_1103_5535,,,,
70_3546_34539,,,,
71_3219_18010,,,,
72_3626_17501,,,,
73_1072_15746,,,,
74_3757_50253,,,,
75_2270_11500,,,,
76_3937_40037,0*,0*,0*,
77_2103_20532,,,,
78_3969_38220,,,,
79_3932_21357,,,,
7_1860_11963,,,,
80_2041_12170,,,,
81_2462_28669,,,,
82_4365_41257,,,,
83_1501_11480,,,,
84_4276_22484,,,,
85_2443_17773,,,,
86_3960_49594,,,,
87_1210_5370,,,,
88_1363_10600,,,,
89_4344_63939,,,,
8_4180_54966,,,,
90_1154_6361,,,,
91_3793_23031,,,,
92_4569_26824,,,,
93_4466_22468,,,,
94_1242_14497,,,,
95_3303_21323,,,,
96_4239_41953,,,,
97_1684_13683,,,,
98_3780_22687,,,,
99_4476_39427,,,,
9_4712_43754,0*,0*,0*,
Cell_cycle_control_network,,,,
EMT_Mechanosensing,82*,82*,82*,
EMT_Mechanosensing_TGFbeta,478*,478*,478*,
Executable_file_for_Alzheimer_model_BCC,,,,
Executable_file_for_CaSQ_derived_MAPK_model_BCC,,,,
Executable_file_for_CaSQ_derived_mast_cell_activation_model_BCC,524288*,524288*,524288*,524288*
Executable_file_for_cholocystokinin_model_BCC,,,,
HOG_example,25632*,25632*,25632*,25632*
Insulin_example,563200*,563200*,563200*,
Leishmania,,,,
T-cell_co-receptor_molecules_calcium_channel,,441039454208*,441039454208*,
YeastPheromoneModel,,,,
signaling-dependent-pluripotency,412*,412*,412*,412*
