instance,solver,status,time_sec,num_fp
model_187,PFVS,solved,0.16,238
model_188,PFVS,solved,13.10,2043
model_189,PFVS,solved,0.12,2
model_190,PFVS,solved,0.17,2
model_191,PFVS,solved,0.11,7
model_192,PFVS,timeout,0.16,NA
model_193,PFVS,solved,0.17,9
model_194,PFVS,timeout,0.16,NA
model_195,PFVS,timeout,0.16,NA
model_196,PFVS,solved,0.27,28
model_197,PFVS,timeout,0.22,NA
model_198,PFVS,solved,0.11,4
model_199,PFVS,solved,0.17,7
model_200,PFVS,solved,0.17,3
model_201,PFVS,solved,0.11,6
model_202,PFVS,solved,0.11,3
model_203,PFVS,solved,0.17,4
model_204,PFVS,solved,0.21,0
model_205,PFVS,solved,0.16,20
model_206,PFVS,solved,0.12,48
model_207,PFVS,timeout,0.16,NA
model_208,PFVS,solved,0.12,5
model_209,PFVS,timeout,0.11,NA
model_210,PFVS,solved,3.07,0
model_211,PFVS,timeout,1800.00,NA
model_212,PFVS,solved,0.17,8
model_213,PFVS,solved,0.22,2052
model_214,PFVS,solved,8.74,817152
model_215,PFVS,timeout,672.24,NA
model_216,PFVS,solved,1.77,135168
model_217,PFVS,timeout,0.11,NA
model_218,PFVS,timeout,0.11,NA
model_219,PFVS,timeout,0.12,NA
model_220,PFVS,timeout,0.22,NA
model_221,PFVS,timeout,0.17,NA
model_222,PFVS,timeout,0.17,NA
model_223,PFVS,timeout,0.16,NA
model_224,PFVS,solved,17.97,256
model_225,PFVS,solved,167.26,4194304
model_226,PFVS,solved,0.77,4
model_227,PFVS,timeout,696.50,NA
model_228,PFVS,solved,0.22,160
model_229,PFVS,solved,0.17,0
model_230,PFVS,solved,0.17,16
